"BA" "HOXB5" "PNISR" "ATRX" "LOC100505650" "PLK1S1" "DNAJC12" "ZFHX4" "BSDC1" "FTSJ1" "YPEL1"
5.7 9.86474425656826 9.4218229677743 8.55766514358195 11.0855489644759 8.89224291061013 8.19829189608451 8.84612515677526 8.84892193168787 10.3846954553713 8.26558858873759
5.87 9.84717551098616 9.30142369717204 8.55059091303109 11.1823566363112 9.19670136648122 8.343191139908 8.87357801018178 9.02255587085628 10.2307663799591 8.42685594297708
5.7 9.85943840015356 9.36030151797664 8.53660589222203 11.0382177117825 8.90368970714893 8.2313178377961 8.85954897080394 8.88827464247301 10.3758508698338 8.24461651757464
5.54 9.86244769379101 9.28349775571713 8.53585437696379 10.988039142237 9.13660895788363 8.29245053423574 8.85747320344406 8.98562800313619 10.3585445856651 8.25742643593128
5.32 9.83676109318045 9.30944235897723 8.54352218260476 10.9448896261039 8.85540394125816 8.19782194295004 8.82682029990753 8.83243638843671 10.3717914031439 8.25007480139977
5.73 9.84831475693463 9.3185022328426 8.54563501851271 11.0178928032056 8.9194685019431 8.27274148533761 8.83836390057126 8.86453774639179 10.3889221307142 8.28043634247035
4.9106509950012 9.84361850166423 9.21461985176806 8.49873567434625 10.7603948981013 8.88978257954367 8.24193414953816 8.80505403453258 8.80751475120888 10.4387810676457 8.31304612945032
4.89483282417059 9.90442523674166 9.35707867817858 8.66923861303206 10.9948941195829 9.27070942442355 8.30688103935543 9.02038627366992 9.08637120922317 10.3773927139925 8.33090276135245
4.62798165436834 9.84408453498028 9.10672073126405 8.47353752219495 10.5356997959741 8.86031136257961 8.23017073433006 8.81790247857539 8.79325141205945 10.4293986470048 8.15467476202377
5.01805849298835 9.7884754166628 9.05755148843739 8.41662711046345 10.7120114565394 8.8507095114724 8.21578179047697 8.80104005464463 8.82832418753597 10.3994852265686 8.16067404257126
5.08 9.78474016276294 9.17490650654149 8.4593749538763 10.8315792852298 8.96687898375686 8.25737914530596 8.85403802943908 8.799160744794 10.3997745719133 8.27946661792814
4.60801525600255 9.84780920406157 9.28096454335058 8.51343836473627 10.834152240198 8.74732301096507 8.22878088074914 8.79309864174188 8.84523902050327 10.4249651632503 8.26403072267635
5.35665162969381 9.83406883210468 9.36033227303001 8.59959631400848 11.075491793167 9.11604828805996 8.28147705862582 9.00131051581576 8.96999399331498 10.3093547667097 8.23453305331182
5.19132330231369 9.84030884882705 9.27016801440399 8.50677820464333 10.7117812971773 8.81758347595567 8.22768941941697 8.82506570376353 8.81179953978913 10.4782394298304 8.23791789288784
4.77462112754583 9.79279419988886 9.13821493680794 8.39701769608359 10.712207738096 8.91566972968923 8.21705713302169 8.73061571577598 8.77374474759129 10.4632430315483 8.24373167775824
4.92098731603473 9.75128864372618 9.15982145460693 8.47530162646935 10.662952514964 8.74792375634379 8.21046716815399 8.74364196337956 8.75552765591415 10.4455698705191 8.17684796855327
4.96030022297055 9.74865148205603 9.13008532378555 8.48498776252667 10.5079879053492 8.7512468740448 8.24633665761253 8.78104917428236 8.73741072731052 10.4116407255161 8.269449835726
4.85815035514533 9.82607903272361 9.17874123839206 8.48581904309494 10.6838254386595 8.74828023455324 8.24883944030503 8.79445487704909 8.79480012074984 10.4039929350624 8.27265506719277
4.67644540760666 9.7897047274924 9.07792238707518 8.41905586301392 10.632542970301 8.89584709136913 8.25707222389293 8.84995488231102 8.74450152829185 10.4651824573436 8.36057340669057
6.89 10.0095637728003 9.51125408481746 8.77198087620441 11.2901189013832 9.6424617916098 8.53152111560655 9.26288582235276 9.34467628433757 9.99443697786436 8.61432230375375
6.05 9.85885695502534 9.40851727991878 8.6186340800379 11.2911079501708 9.36952779449712 8.37103531115236 9.0845039693037 8.95919133779015 10.0797378563409 8.40891639497925
5.59 9.80492033290825 9.38804452975925 8.54912286255571 10.9790047391579 8.92551709615454 8.26539700825332 8.89355290440636 8.80927657257272 10.4044118025357 8.26153984126677
5.29 9.84879192194608 9.29180185522387 8.50087757061242 10.9092259251756 8.74462600217596 8.20611227276352 8.79511027596937 8.74719404863908 10.3883270174845 8.24708888514907
5.81 9.87863924298613 9.43608011377398 8.56811180395905 11.084279166376 8.96378110272636 8.26987007783972 8.94111209814004 8.89318381106214 10.4168468804417 8.30585332067049
5.85 9.97156979800153 9.3942199428944 8.58327715299677 11.0960540619984 9.07760999852022 8.29265222898326 9.10178519632444 8.97571864674306 10.2877107821865 8.30442255678996
4.74584103003144 9.83978328370791 9.35665301487875 8.54581001287852 11.0525022353616 8.92028939351519 8.25050600858875 8.87563264731887 8.83549147875996 10.4048350619814 8.14542975125013
7.22 10.0795431215336 9.75345118038435 8.9072708212016 11.4620374723425 9.83193832886996 8.49325486828879 9.43786265798207 9.41449248699168 10.1090760069893 8.64118802720033
6.78 10.0727783151168 9.60889580472605 8.73217553023949 11.2965161791464 9.51332402618104 8.45985500568358 9.21343974286093 9.20639125086676 10.1856469687028 8.47981713356728
5.76 9.85124783170301 9.32884635916274 8.54229678016219 11.0645404575611 8.89549124971628 8.2705960089335 8.97930031830553 8.85314635160515 10.3742339971359 8.33486017927892
6.93 10.1117295053695 9.60171564258689 8.81941011316417 11.4309872814826 9.68834603420835 8.4839000383294 9.31835028177857 9.30181082681756 10.0868604161934 8.51639874130055
6.23 9.85177443339981 9.31789240508414 8.55283725076577 10.946677423816 9.02282242981022 8.27891553374675 8.83668695496452 8.86205204277208 10.3682003562667 8.30238117643004
5.31 9.84303272170091 9.30332267104762 8.54851608858353 10.9224487883804 8.77011834925982 8.25767590713676 8.87301162784802 8.74119316291985 10.4111436811144 8.19528182023932
4.69945302568376 9.84203978912848 9.31488348880644 8.52936166470224 10.85030863817 8.80645310334634 8.27160601331671 8.87142272445391 8.79968873446106 10.3700995032757 8.27858051439837
6.77 10.0637741432862 9.63062580331041 8.81762466386155 11.4790608151737 9.58105335539769 8.58130135826735 9.29083840917517 9.24727024692894 10.1356216318852 8.48516244177511
6.58 10.0430822589166 9.60192061384195 8.80066506970152 11.4405285199814 9.49433781866155 8.45875979363382 9.22754740261464 9.17433244690343 10.1592718845768 8.50176786252488
